id,audio_filepath,duration,class
id_3zclf5d84m,id_3zclf5d84m.wav,1.792,right
id_msg907h8gf,id_msg907h8gf.wav,2.134,stop
id_o667a87wn8,id_o667a87wn8.wav,1.554,up
id_fo5ze97ht4,id_fo5ze97ht4.wav,2.074,go
id_27488w2srq,id_27488w2srq.wav,2.176,down
id_jcmku02yu8,id_jcmku02yu8.wav,2.274,down
id_wts3q8nxp3,id_wts3q8nxp3.wav,1.338,left
id_ey936vgwrz,id_ey936vgwrz.wav,2.176,down
id_5b8l9rggvt,id_5b8l9rggvt.wav,2.274,down
id_fir2tyt93i,id_fir2tyt93i.wav,1.984,left
id_uwx8s09xai,id_uwx8s09xai.wav,2.667,go
id_owlysixubt,id_owlysixubt.wav,1.238,right
id_ch3wsl8b8v,id_ch3wsl8b8v.wav,2.134,stop
id_qhemj7bb82,id_qhemj7bb82.wav,1.138,stop
id_k4p8h81mav,id_k4p8h81mav.wav,1.238,right
id_h0wc7cns10,id_h0wc7cns10.wav,2.261,right
id_cbdg2fr4ac,id_cbdg2fr4ac.wav,1.38,go
id_scr1c0qsst,id_scr1c0qsst.wav,2.261,right
id_3gorw03gjh,id_3gorw03gjh.wav,1.664,yes
id_p0dpo7eurt,id_p0dpo7eurt.wav,2.261,right
id_ddjaxnklrw,id_ddjaxnklrw.wav,2.347,up
id_hfqyv3f1ub,id_hfqyv3f1ub.wav,1.984,up
id_kkl7s2uuru,id_kkl7s2uuru.wav,1.974,left
id_prkee3dr5o,id_prkee3dr5o.wav,1.578,yes
id_20g0aoc6dj,id_20g0aoc6dj.wav,2.261,right
id_m460hfjbmw,id_m460hfjbmw.wav,1.38,go
id_u0hnq6b8fn,id_u0hnq6b8fn.wav,1.578,yes
id_t2qx2ppnje,id_t2qx2ppnje.wav,2.176,down
id_qkq8d511cn,id_qkq8d511cn.wav,1.984,up
id_szkgbmchk1,id_szkgbmchk1.wav,1.634,down
id_urt01eytk9,id_urt01eytk9.wav,2.274,go
id_fiewjint93,id_fiewjint93.wav,2.998,left
id_z3tonxnx9u,id_z3tonxnx9u.wav,2.274,down
id_j34b5n3dbe,id_j34b5n3dbe.wav,1.834,up
id_12grv7kxy1,id_12grv7kxy1.wav,1.078,no
id_hljzjfsxkr,id_hljzjfsxkr.wav,1.634,down
id_008hdy1ctr,id_008hdy1ctr.wav,1.298,no
id_j9n9ulns0d,id_j9n9ulns0d.wav,1.4778333333333333,down
id_tdt9xzqyea,id_tdt9xzqyea.wav,2.274,go
id_2uzxhxiovt,id_2uzxhxiovt.wav,1.899,left
id_g6b08j6pvg,id_g6b08j6pvg.wav,1.984,up
id_3j3gnx3z7o,id_3j3gnx3z7o.wav,1.664,yes
id_0ljduonxza,id_0ljduonxza.wav,1.934,right
id_5xoyzqteey,id_5xoyzqteey.wav,2.133,stop
id_df0ryepsko,id_df0ryepsko.wav,1.574,left
id_nfosjtu62e,id_nfosjtu62e.wav,2.134,stop
id_05tt5tpgxm,id_05tt5tpgxm.wav,2.074,no
id_whi9cmpvnn,id_whi9cmpvnn.wav,1.634,down
id_qnj0ymo9hw,id_qnj0ymo9hw.wav,1.899,left
id_63n65pcq1r,id_63n65pcq1r.wav,1.298,no
id_risnfx4p7v,id_risnfx4p7v.wav,1.338,left
id_91o09dw5vt,id_91o09dw5vt.wav,1.078,up
id_5ee4abrx3q,id_5ee4abrx3q.wav,1.834,up
id_7ncnk63dw0,id_7ncnk63dw0.wav,1.138,stop
id_mrcnn97ush,id_mrcnn97ush.wav,1.278,go
id_mh20is4kwl,id_mh20is4kwl.wav,1.554,up
id_15kebpxccz,id_15kebpxccz.wav,1.834,up
id_ip56er1awa,id_ip56er1awa.wav,2.347,up
id_6kjs12mlza,id_6kjs12mlza.wav,2.176,down
id_xyya8g5yqp,id_xyya8g5yqp.wav,1.554,up
id_9emk3enfwp,id_9emk3enfwp.wav,1.974,left
id_8212l02oaq,id_8212l02oaq.wav,1.494,no
id_whzfir0ns5,id_whzfir0ns5.wav,1.358,down
id_0v32ht865b,id_0v32ht865b.wav,2.274,go
id_z4sbq39w7p,id_z4sbq39w7p.wav,1.574,left
id_9rwnuvg43x,id_9rwnuvg43x.wav,1.494,no
id_rh1p0lwvk3,id_rh1p0lwvk3.wav,1.578,up
id_gs5xjznv7t,id_gs5xjznv7t.wav,1.138,stop
id_ycz1bb1hq6,id_ycz1bb1hq6.wav,1.664,no
id_l5j69qbylw,id_l5j69qbylw.wav,2.133,stop
id_tyv8k3xvgx,id_tyv8k3xvgx.wav,1.574,left
id_xuwoq4tlms,id_xuwoq4tlms.wav,1.674,yes
id_sdeq3rt2v4,id_sdeq3rt2v4.wav,1.238,right
id_qrluqzixsb,id_qrluqzixsb.wav,2.118,go
id_kt4rdfmzkw,id_kt4rdfmzkw.wav,1.6,go
id_n4pylqh4yk,id_n4pylqh4yk.wav,1.078,no
id_t8r9wfvfuh,id_t8r9wfvfuh.wav,1.554,up
id_mg70o3jw50,id_mg70o3jw50.wav,1.574,left
id_aggi9tjrcf,id_aggi9tjrcf.wav,1.138,stop
id_tepw979vjo,id_tepw979vjo.wav,2.378,yes
id_3d9uxougfk,id_3d9uxougfk.wav,2.133,stop
id_bjdjhfx8h6,id_bjdjhfx8h6.wav,1.934,right
id_q4ak1vob30,id_q4ak1vob30.wav,1.138,stop
id_zndt1ppqwh,id_zndt1ppqwh.wav,2.274,go
id_vlaydsl7df,id_vlaydsl7df.wav,1.38,go
id_3ebue86yop,id_3ebue86yop.wav,2.176,down
id_ee9hh0q2yh,id_ee9hh0q2yh.wav,1.078,up
id_82fzfzwp0o,id_82fzfzwp0o.wav,2.347,up
id_xk0pdsoz1c,id_xk0pdsoz1c.wav,1.834,up
id_o5tf7h4gcz,id_o5tf7h4gcz.wav,1.674,yes
id_0ys5iaxv49,id_0ys5iaxv49.wav,1.238,right
id_n5dhfcq5j9,id_n5dhfcq5j9.wav,1.792,right
id_nym5kkp2fc,id_nym5kkp2fc.wav,1.078,up
id_qrm4dabunc,id_qrm4dabunc.wav,1.664,no
id_k6g73lh8jy,id_k6g73lh8jy.wav,1.298,no
id_pfk6ljdh18,id_pfk6ljdh18.wav,2.6666666666666665,go
id_zu2w9su6ey,id_zu2w9su6ey.wav,2.118,go
id_60cvic9g3o,id_60cvic9g3o.wav,1.984,up
id_lexuekyfr6,id_lexuekyfr6.wav,1.354,yes
id_8ve0889sme,id_8ve0889sme.wav,2.347,up
id_5qk068w5xj,id_5qk068w5xj.wav,1.934,right
id_rk4ia33cuz,id_rk4ia33cuz.wav,1.654,right
id_wfe5v36ie0,id_wfe5v36ie0.wav,2.118,go
id_iglci38p56,id_iglci38p56.wav,2.133,yes
id_aa33191f85,id_aa33191f85.wav,2.133,yes
id_z0buk6mbjj,id_z0buk6mbjj.wav,2.667,go
id_hliqnln1x6,id_hliqnln1x6.wav,2.118,go
id_aioqhe5fpr,id_aioqhe5fpr.wav,2.074,no
id_6nahb6vdec,id_6nahb6vdec.wav,2.133,stop
id_btxs86oah5,id_btxs86oah5.wav,1.078,up
id_o18uucnp2a,id_o18uucnp2a.wav,1.354,yes
id_ratil1xrxd,id_ratil1xrxd.wav,2.854,stop
id_p8kcydj3sz,id_p8kcydj3sz.wav,1.634,down
id_1s6jfzkphf,id_1s6jfzkphf.wav,1.654,right
id_nv1j8ticcv,id_nv1j8ticcv.wav,1.278,go
id_l3orr1mnl9,id_l3orr1mnl9.wav,2.074,no
id_96odd0zzbi,id_96odd0zzbi.wav,1.478,down
id_1kqvdruu1m,id_1kqvdruu1m.wav,2.176,down
id_jql66ek2q0,id_jql66ek2q0.wav,1.834,up
id_6pctla3agq,id_6pctla3agq.wav,2.112,stop
id_ihp53l0yu0,id_ihp53l0yu0.wav,2.178,right
id_i43nn6u1hy,id_i43nn6u1hy.wav,1.974,left
id_hbbgzlew6i,id_hbbgzlew6i.wav,1.834,up
id_qc3ywde5zh,id_qc3ywde5zh.wav,1.984,up
id_5lkw67yois,id_5lkw67yois.wav,1.578,yes
id_m7gg753mg2,id_m7gg753mg2.wav,1.934,right
id_fjz8f1vncl,id_fjz8f1vncl.wav,1.899,left
id_d6yuwdypkg,id_d6yuwdypkg.wav,1.6,go
id_gs8kvw0fzs,id_gs8kvw0fzs.wav,1.494,no
id_8j61i3mzoc,id_8j61i3mzoc.wav,1.38,go
id_02dsqk6glx,id_02dsqk6glx.wav,1.654,right
id_2jujyl5291,id_2jujyl5291.wav,1.914,stop
id_ir7qxwb7u9,id_ir7qxwb7u9.wav,1.238,right
id_s4t31db47d,id_s4t31db47d.wav,1.984,up
id_hqhmm8r939,id_hqhmm8r939.wav,1.354,yes
id_ivh9fnic1i,id_ivh9fnic1i.wav,2.074,no
id_pvrphbworu,id_pvrphbworu.wav,1.278,go
id_0b1977oh0o,id_0b1977oh0o.wav,1.934,right
id_1u378agco6,id_1u378agco6.wav,2.261,right
id_k03snj2lrs,id_k03snj2lrs.wav,2.854,stop
id_np6w09xtih,id_np6w09xtih.wav,1.358,down
id_x5dpq7a2s8,id_x5dpq7a2s8.wav,1.078,up
id_miyv5i8p7a,id_miyv5i8p7a.wav,1.792,right
id_wxjrufrvzy,id_wxjrufrvzy.wav,1.674,yes
id_52cdlb4e9r,id_52cdlb4e9r.wav,1.974,left
id_8sfj87808z,id_8sfj87808z.wav,1.354,yes
id_vwzpjf1tzy,id_vwzpjf1tzy.wav,2.378,yes
id_412oa0okwr,id_412oa0okwr.wav,1.664,no
id_e3bmz2dbvy,id_e3bmz2dbvy.wav,1.6735,yes
id_gjai2dihgn,id_gjai2dihgn.wav,2.112,stop
id_6ch7wax99y,id_6ch7wax99y.wav,1.578,yes
id_xugrz304np,id_xugrz304np.wav,2.998,left
id_t3zb2t3szx,id_t3zb2t3szx.wav,1.3378333333333334,left
id_0924afyxhh,id_0924afyxhh.wav,1.654,right
id_tityk3lg9c,id_tityk3lg9c.wav,1.664,no
id_dhpg74n3je,id_dhpg74n3je.wav,2.178,right
id_9ys01fme4l,id_9ys01fme4l.wav,2.027,down
id_yvgr4c9ahk,id_yvgr4c9ahk.wav,1.338,left
id_ux0d8uhqzd,id_ux0d8uhqzd.wav,1.9735,left
id_luojjntlcq,id_luojjntlcq.wav,1.634,down
id_u5tit8oyr7,id_u5tit8oyr7.wav,2.133,stop
id_udrb5przwa,id_udrb5przwa.wav,1.478,down
id_le5089ermx,id_le5089ermx.wav,1.238,right
id_mspt0fcqq2,id_mspt0fcqq2.wav,1.278,go
id_14i029t9cs,id_14i029t9cs.wav,2.274,go
id_8qsxj1nfqr,id_8qsxj1nfqr.wav,2.274,down
id_arkaweiibd,id_arkaweiibd.wav,1.38,go
id_v8hkj5kl4z,id_v8hkj5kl4z.wav,1.278,go
id_0eew558uz9,id_0eew558uz9.wav,1.674,yes
id_6p1qieof7c,id_6p1qieof7c.wav,2.074,no
id_dmnizn30vr,id_dmnizn30vr.wav,1.664,yes
id_4k46veghq8,id_4k46veghq8.wav,2.378,yes
id_l4u4z3pybb,id_l4u4z3pybb.wav,2.069,no
id_y5qhx29dkr,id_y5qhx29dkr.wav,2.133,stop
id_kp1r7k2kwv,id_kp1r7k2kwv.wav,1.934,right
id_lqx9t6fpdu,id_lqx9t6fpdu.wav,2.178,right
id_jkx3qu5j5z,id_jkx3qu5j5z.wav,1.478,down
id_ravzyzkr7p,id_ravzyzkr7p.wav,2.178,right
id_w251sqtfla,id_w251sqtfla.wav,1.078,up
id_ntxmi73ayi,id_ntxmi73ayi.wav,2.2613333333333334,right
id_mca4sxvirw,id_mca4sxvirw.wav,1.494,no
id_djqlhpi29y,id_djqlhpi29y.wav,1.578,yes
id_y9hs5ehnw4,id_y9hs5ehnw4.wav,1.078,up
id_hpmgl25g34,id_hpmgl25g34.wav,1.298,no
id_3x3aprpu2t,id_3x3aprpu2t.wav,1.578,yes
id_izaqhyxiux,id_izaqhyxiux.wav,1.0778333333333334,no
id_9pm7lqia8d,id_9pm7lqia8d.wav,2.274,down
id_100xe0ykjf,id_100xe0ykjf.wav,2.026666666666667,down
id_k5ne89k5ts,id_k5ne89k5ts.wav,2.118,go
id_egx3dfjtb1,id_egx3dfjtb1.wav,1.984,up
id_l8jv30mnka,id_l8jv30mnka.wav,2.133,yes
id_2wff1zzafh,id_2wff1zzafh.wav,1.574,left
id_pyshuxaxdc,id_pyshuxaxdc.wav,2.667,go
id_3bfru5vaei,id_3bfru5vaei.wav,1.674,yes
id_rli3mg733g,id_rli3mg733g.wav,1.574,left
id_0r55oswovf,id_0r55oswovf.wav,1.899,left
id_78p028uz7g,id_78p028uz7g.wav,2.261,right
id_345ralyg9c,id_345ralyg9c.wav,2.178,right
id_khs7d1csg1,id_khs7d1csg1.wav,1.078,up
id_e8cfz6jeh7,id_e8cfz6jeh7.wav,1.078,up
id_hth2oc2yd8,id_hth2oc2yd8.wav,2.118,go
id_3hedigukdx,id_3hedigukdx.wav,1.578,up
id_9qknm7qqi8,id_9qknm7qqi8.wav,1.974,left
id_7audcs9pnz,id_7audcs9pnz.wav,1.138,stop
id_kgdwfp2eop,id_kgdwfp2eop.wav,1.664,no
id_u4rnrxolod,id_u4rnrxolod.wav,1.934,right
id_wwijombnde,id_wwijombnde.wav,1.574,left
id_waboml35t0,id_waboml35t0.wav,1.554,up
id_0sak1i8sf8,id_0sak1i8sf8.wav,2.274,go
id_pweszejcel,id_pweszejcel.wav,1.238,right
id_zthtm967x0,id_zthtm967x0.wav,1.078,up
id_ctdvcx8lxk,id_ctdvcx8lxk.wav,2.074,no
id_stgiathwi9,id_stgiathwi9.wav,1.574,left
id_ylx72wrken,id_ylx72wrken.wav,1.478,down
id_zwkz79l7fq,id_zwkz79l7fq.wav,1.574,left
id_5a48p6viyk,id_5a48p6viyk.wav,1.298,no
id_gu21ffdiqr,id_gu21ffdiqr.wav,1.934,right
id_lzdicme4as,id_lzdicme4as.wav,1.664,yes
id_32sxdgb3v9,id_32sxdgb3v9.wav,2.261,right
id_coczfic6oo,id_coczfic6oo.wav,1.338,left
id_bee0imn2q1,id_bee0imn2q1.wav,1.238,right
id_4w58y2ns52,id_4w58y2ns52.wav,1.634,down
id_ospv3w4wmp,id_ospv3w4wmp.wav,2.378,yes
id_t8y38zzguq,id_t8y38zzguq.wav,1.578,yes
id_8lwy3jl3fq,id_8lwy3jl3fq.wav,2.069,no
id_22kvnwffmp,id_22kvnwffmp.wav,2.8535,stop
id_a53sdwnky7,id_a53sdwnky7.wav,2.178,right
id_lzbzfdp58q,id_lzbzfdp58q.wav,1.674,yes
id_045lg72ino,id_045lg72ino.wav,2.178,right
id_dj8h9w43qf,id_dj8h9w43qf.wav,2.069,no
id_nvsiheouse,id_nvsiheouse.wav,1.899,left
id_opona2g5g3,id_opona2g5g3.wav,1.6,go
id_hj6ffxfgx2,id_hj6ffxfgx2.wav,2.347,up
id_v4tk3ksgqn,id_v4tk3ksgqn.wav,2.074,no
id_rjkfdgsni0,id_rjkfdgsni0.wav,2.027,down
id_51ua42r2sf,id_51ua42r2sf.wav,1.138,stop
id_8p3o047wp6,id_8p3o047wp6.wav,1.494,no
id_qez1355hab,id_qez1355hab.wav,1.634,down
id_puj2pmhemt,id_puj2pmhemt.wav,1.654,right
id_ngfh9efg8j,id_ngfh9efg8j.wav,1.654,right
id_6i9hvqb0n2,id_6i9hvqb0n2.wav,1.354,yes
id_p8o3zdq9x6,id_p8o3zdq9x6.wav,1.078,no
id_4k2ya4i4pm,id_4k2ya4i4pm.wav,1.358,down
id_9uan2ooim0,id_9uan2ooim0.wav,1.914,stop
id_xv8u3xngbf,id_xv8u3xngbf.wav,1.354,yes
id_5e40f0l639,id_5e40f0l639.wav,1.934,right
id_ldquz4701j,id_ldquz4701j.wav,2.1333333333333333,stop
id_hix4k4dvot,id_hix4k4dvot.wav,1.664,no
id_b2g01jw6p8,id_b2g01jw6p8.wav,1.9135,stop
id_1qvq5iusgr,id_1qvq5iusgr.wav,1.664,no
id_qdql75g93n,id_qdql75g93n.wav,1.654,right
id_o806he3d2a,id_o806he3d2a.wav,2.378,yes
id_jxrgzv9uz5,id_jxrgzv9uz5.wav,1.494,no
id_sbq03z6wz1,id_sbq03z6wz1.wav,2.074,go
id_xffpksngof,id_xffpksngof.wav,2.274,go
id_q85qus0b7q,id_q85qus0b7q.wav,2.261,right
id_py7008p7we,id_py7008p7we.wav,2.027,down
id_ki8bqh2hh6,id_ki8bqh2hh6.wav,1.974,left
id_jwsw4sh20c,id_jwsw4sh20c.wav,2.854,stop
id_pn3qtoqcln,id_pn3qtoqcln.wav,2.347,up
id_7gerx790e5,id_7gerx790e5.wav,2.074,no
id_ub6kty7jyi,id_ub6kty7jyi.wav,1.478,down
id_pwdo357ari,id_pwdo357ari.wav,2.998,left
id_skle2xc9ss,id_skle2xc9ss.wav,2.274,down
id_99z3z2pzvt,id_99z3z2pzvt.wav,2.112,stop
id_4qkxeluu9k,id_4qkxeluu9k.wav,1.554,up
id_8qa77yazu6,id_8qa77yazu6.wav,1.574,left
id_7cybj72rub,id_7cybj72rub.wav,2.133,yes
id_ofeinwyole,id_ofeinwyole.wav,1.354,yes
id_5r3wx2zomb,id_5r3wx2zomb.wav,1.664,yes
id_egwq4jmpbq,id_egwq4jmpbq.wav,1.934,right
id_q8eempeilb,id_q8eempeilb.wav,1.478,down
id_oxfc5h6vjr,id_oxfc5h6vjr.wav,2.027,down
id_aoyd0hbjqx,id_aoyd0hbjqx.wav,1.478,down
id_to9jcnmnz0,id_to9jcnmnz0.wav,2.118,go
id_u0pl318t8i,id_u0pl318t8i.wav,2.667,go
id_woi2lxssx9,id_woi2lxssx9.wav,1.078,up
id_xga4q9anqp,id_xga4q9anqp.wav,2.274,down
id_h2n2tw7491,id_h2n2tw7491.wav,2.074,no
id_h5rpygojuw,id_h5rpygojuw.wav,2.074,no
id_ex03szbcpp,id_ex03szbcpp.wav,2.854,stop
id_n073y1txz5,id_n073y1txz5.wav,1.38,go
id_1jwvc88nne,id_1jwvc88nne.wav,1.578,yes
id_08hdz32xff,id_08hdz32xff.wav,1.6,go
id_2bd56zkn4m,id_2bd56zkn4m.wav,2.347,up
id_loo7bphcnx,id_loo7bphcnx.wav,1.358,down
id_r5hnllu93i,id_r5hnllu93i.wav,2.274,down
id_zfx38u7rbh,id_zfx38u7rbh.wav,1.554,up
id_cbtaexzqu4,id_cbtaexzqu4.wav,1.478,down
id_vfqn6gxfa7,id_vfqn6gxfa7.wav,1.634,down
id_cabn7v1n6y,id_cabn7v1n6y.wav,1.578,yes
id_e793g82gm5,id_e793g82gm5.wav,1.974,left
id_e2oq7a9n4m,id_e2oq7a9n4m.wav,1.664,yes
id_w3ob49511a,id_w3ob49511a.wav,1.578,yes
id_4drigzvrfc,id_4drigzvrfc.wav,1.984,up
id_5kbrqa52oo,id_5kbrqa52oo.wav,2.176,down
id_io22qhpasa,id_io22qhpasa.wav,1.834,up
id_xn0fsugajr,id_xn0fsugajr.wav,1.078,up
id_t0i26njmsj,id_t0i26njmsj.wav,1.238,right
id_2f7cnlv36p,id_2f7cnlv36p.wav,2.133,stop
id_g1tnhp5ywf,id_g1tnhp5ywf.wav,1.984,left
id_d15b400iky,id_d15b400iky.wav,1.554,up
id_qhp4fd1ch1,id_qhp4fd1ch1.wav,2.178,right
id_q38jtiel0x,id_q38jtiel0x.wav,1.354,yes
id_duvogjgu9d,id_duvogjgu9d.wav,1.554,up
id_yyvsyj65r7,id_yyvsyj65r7.wav,2.347,up
id_b4s1bdcfeq,id_b4s1bdcfeq.wav,1.578,up
id_61cffr70yw,id_61cffr70yw.wav,1.664,no
id_96rpwacobm,id_96rpwacobm.wav,2.261,right
id_zv4r8zzgp7,id_zv4r8zzgp7.wav,2.133,yes
id_0v0n87ljbv,id_0v0n87ljbv.wav,2.069,no
id_vuzh8ak5uf,id_vuzh8ak5uf.wav,1.934,right
id_jtsi82ifsm,id_jtsi82ifsm.wav,1.654,right
id_usvvbiovqz,id_usvvbiovqz.wav,1.899,left
id_xdaypmdqsj,id_xdaypmdqsj.wav,1.834,up
id_5sc9keckzf,id_5sc9keckzf.wav,1.354,yes
id_rbdlu8qbqt,id_rbdlu8qbqt.wav,1.578,yes
id_jek8de9cnl,id_jek8de9cnl.wav,1.578,up
id_rl8wlg2ks1,id_rl8wlg2ks1.wav,1.38,go
id_mqfefbegww,id_mqfefbegww.wav,1.914,stop
id_krx789hl61,id_krx789hl61.wav,1.338,left
id_6sxcqkrajl,id_6sxcqkrajl.wav,2.274,go
id_epx36wjovf,id_epx36wjovf.wav,1.654,right
id_nmcie6dlob,id_nmcie6dlob.wav,2.274,down
id_jp74nqmlii,id_jp74nqmlii.wav,1.974,left
id_m18xg29flx,id_m18xg29flx.wav,1.078,no
id_646wrf3st2,id_646wrf3st2.wav,1.984,left
id_kt6erc7jxy,id_kt6erc7jxy.wav,1.792,right
id_673zxkdc9e,id_673zxkdc9e.wav,1.984,left
id_eg0ff19zny,id_eg0ff19zny.wav,1.138,stop
id_iw4sgz3yvt,id_iw4sgz3yvt.wav,1.6,go
id_0yc3ep6mua,id_0yc3ep6mua.wav,1.238,right
id_4g3olq7hqf,id_4g3olq7hqf.wav,2.261,right
id_pfzcpokmqe,id_pfzcpokmqe.wav,1.634,down
id_5c9301vpk7,id_5c9301vpk7.wav,1.914,stop
id_2m6k552z7v,id_2m6k552z7v.wav,1.278,go
id_6d8nd2o6ny,id_6d8nd2o6ny.wav,2.998,left
id_cde4px4w2z,id_cde4px4w2z.wav,2.178,right
id_eve39f9j7e,id_eve39f9j7e.wav,2.027,down
id_sysp30l05g,id_sysp30l05g.wav,1.984,left
id_pg8g7gm5d4,id_pg8g7gm5d4.wav,2.0735,no
id_mpcuivu9tz,id_mpcuivu9tz.wav,1.834,up
id_1gvvgxfhza,id_1gvvgxfhza.wav,1.654,right
id_prde4shgwz,id_prde4shgwz.wav,1.899,left
id_lcahp847ho,id_lcahp847ho.wav,2.074,go
id_9ybhi0hyhk,id_9ybhi0hyhk.wav,2.112,stop
id_11ead2ukb2,id_11ead2ukb2.wav,1.478,down
id_rfx7j2zx2x,id_rfx7j2zx2x.wav,2.0693333333333332,no
id_z0rtq7rozb,id_z0rtq7rozb.wav,2.074,no
id_xx5os13d9v,id_xx5os13d9v.wav,2.998,left
id_3ol80jvm27,id_3ol80jvm27.wav,1.338,left
id_hffmn89cup,id_hffmn89cup.wav,1.664,yes
id_wbwmwp78lx,id_wbwmwp78lx.wav,1.654,right
id_ybohcdfkxr,id_ybohcdfkxr.wav,2.274,go
id_0ywvshwyfv,id_0ywvshwyfv.wav,1.298,no
id_35cuatnl7q,id_35cuatnl7q.wav,1.674,yes
id_3zr2c0nhle,id_3zr2c0nhle.wav,2.274,down
id_ki8kal8ig1,id_ki8kal8ig1.wav,1.6,go
id_tu94knci9m,id_tu94knci9m.wav,2.667,go
